"ABC","Type","SKU","Name","Published","Is featured?","Visibility in catalog","Short description","Description","Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?","Stock","Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price","Categories","Tags","Shipping class","Images","Download limit","Download expiry days","Parent","Grouped products","Upsells","Cross-sells","External URL","Button text","Position","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 1 default","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 2 default","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global","Attribute 3 default","","","","","","All image convert","slugimage","Slug url",""
"7766459777260","variable","SQUARE-7260","SquareBlock","-1","0","visible","","<h2 style=""text-align: center;""><strong>Have Fun With Other Drivers While On The Road</strong></h2>
<p> <img src=""https://cdn.shopify.com/s/files/1/0662/7229/7196/files/307312963_1158047288130761_6772659512190811974_n_480x480.gif?v=1663462645"" alt=""""></p>
<p> </p>
<h2 style=""text-align: center;"">
<strong>FUN TO USE</strong> </h2>
<p><em>No more road rage!</em> The <em><strong>SquareBlock™</strong></em> allows you to display whatever you want on your car window! You'll sure get a laugh out of other drivers.</p>
<p><img src=""https://cdn.shopify.com/s/files/1/0662/7229/7196/products/image_480x480.jpg?v=1663879957"" alt=""""></p>
<p><br></p>
<h2 style=""text-align: center;""><strong>EASY TO USE </strong></h2>
<p><strong>1)</strong> Plug in cord that comes with the package into the screen. </p>
<p><strong>2) </strong>Connect it to your car's auxilary power outlet (also known as a car cigarette lighter).</p>
<p><strong>3) </strong>Download the app (which is included in the intructions manual) to display whatever you want on the screen <img src=""https://cdn.shopify.com/s/files/1/0662/7229/7196/products/image_4c030458-d1dd-44bc-be21-497e6abe94de_480x480.jpg?v=1663879957"" alt=""""></p>
<p> </p>
<h2 style=""text-align: center;""><strong></strong></h2>
<h2 style=""text-align: center;""><strong>THE COMPLETE KIT </strong></h2>
<p>One <em><strong>SquareBlock™</strong> with suctions</em>, <em>a five meters special power adapter</em> (long enough to connect the device from the back to the front of your car), and <em>a product intructions manual.</em></p>
<p><img src=""https://cdn.shopify.com/s/files/1/0662/7229/7196/products/image_48a6e2d9-7d16-44d3-9a04-7323069bc493_480x480.jpg?v=1663879957"" alt=""""></p>
<p> </p>
<h2 style=""text-align: center;""><strong>OUR GUARANTEE</strong> </h2>
<p>We love our <em><strong>SquareBlock™ </strong></em>and are confident you will too! Our customers are our most <em>important priority </em>that's why we're offering <em>a 30-Day, Money Back Gaurantee. </em>If you're not in love with it, we'll give a full refund.</p>
<p> </p>
<h2 style=""text-align: center;""><strong></strong></h2>
<h2 style=""text-align: center;""><strong></strong></h2>
<h2 style=""text-align: center;""><strong></strong></h2>
<h2 style=""text-align: center;""><strong></strong></h2>","","","","","1","","","0","0","","","","","1","","","","","","","https://cdn.shopify.com/s/files/1/0662/7229/7196/products/image_143c7451-feea-4923-925b-c6a10bc74d27.jpg,https://cdn.shopify.com/s/files/1/0662/7229/7196/products/image_39ab3da6-a258-4638-a05b-eb027dbbdab8.jpg,https://cdn.shopify.com/s/files/1/0662/7229/7196/products/image_0bd9bdc5-6a9d-4639-8e22-e99d46886a6b.jpg,https://cdn.shopify.com/s/files/1/0662/7229/7196/products/image_b8ed22fb-de03-4a4a-bff1-972d733a39c8.jpg,https://cdn.shopify.com/s/files/1/0662/7229/7196/products/image_48a6e2d9-7d16-44d3-9a04-7323069bc493.jpg,https://cdn.shopify.com/s/files/1/0662/7229/7196/products/image_4c030458-d1dd-44bc-be21-497e6abe94de.jpg,https://cdn.shopify.com/s/files/1/0662/7229/7196/products/image.jpg","","","","","","","","","0","Title","Default Title","0","0","Default Title","","","","","","","","","","","","","","","","squareblock-7260-0.jpg,squareblock-7260-1.jpg,squareblock-7260-2.jpg,squareblock-7260-3.jpg,squareblock-7260-4.jpg,squareblock-7260-5.jpg,squareblock-7260-6.jpg","image_143c7451-feea-4923-925b-c6a10bc74d27.jpg,image_39ab3da6-a258-4638-a05b-eb027dbbdab8.jpg,image_0bd9bdc5-6a9d-4639-8e22-e99d46886a6b.jpg,image_b8ed22fb-de03-4a4a-bff1-972d733a39c8.jpg,image_48a6e2d9-7d16-44d3-9a04-7323069bc493.jpg,image_4c030458-d1dd-44bc-be21-497e6abe94de.jpg,image.jpg","squareblock","http://remtica.com/wp-content/uploads/sites/19/2022/02/squareblock-7260-0.jpg,http://remtica.com/wp-content/uploads/sites/19/2022/02/squareblock-7260-1.jpg,http://remtica.com/wp-content/uploads/sites/19/2022/02/squareblock-7260-2.jpg,http://remtica.com/wp-content/uploads/sites/19/2022/02/squareblock-7260-3.jpg,http://remtica.com/wp-content/uploads/sites/19/2022/02/squareblock-7260-4.jpg,http://remtica.com/wp-content/uploads/sites/19/2022/02/squareblock-7260-5.jpg,http://remtica.com/wp-content/uploads/sites/19/2022/02/squareblock-7260-6.jpg"
"","variation","SQUARE-7260-1","SquareBlock","1","0","visible","","","","","taxable","parent","1","","","0","0","","","","","0","","59.99","100","","","","","","","SQUARE-7260","","","","","","1","Title","Default Title","","0","","","","","","","","","","","","","","","","","","","",""
